申论题ID,年份,考试类型,地区/系统,卷别/类别,题号,子题号,题型一级,题型二级,题干_V3可用版,作答要求_V3可用版,材料范围,分值,字数要求,主题标签,关联材料编号,来源文件,V3置信度,V3清洗动作,V3问题标记
SL-00157,2016,省考,安徽,通用卷,1,2.1,综合分析,解释评价/启示分析,解释说明“社会创业”这一概念。（8分）,用一个长句揭示概念的内涵，不超过100字。,7，,8,不超过100字,,安徽-2016-未知-M1；安徽-2016-未知-M4；安徽-2016-未知-M3；安徽-2016-未知-M7,2016年423公务员联考《申论》（安徽B卷）真题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00158,2016,省考,安徽,通用卷,1,2.2,归纳概括,概括要点,归纳“社会创业家”所具有的主要特质。,全面准确，分点准确，分点表述，简明扼要，150字左右。（12分）,7，,8,不超过100字,,安徽-2016-未知-M1；安徽-2016-未知-M4；安徽-2016-未知-M3；安徽-2016-未知-M7,2016年423公务员联考《申论》（安徽B卷）真题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00159,2016,省考,安徽,通用卷,1,3,文章写作,大作文/议论文,"XX大学网页“创业指导”专栏拟刊发一篇文章，向C市就业指导中心发了约稿函。假定你是该就
业指导中心的攥稿人，请根据给定材料3并联系“创业成功是一个小概率事件”这句话，写作这篇500字左
右的稿件。（25分）",针对性强，建议可行，条理清楚，表达简洁。,3,25,,公共服务,安徽-2016-未知-M1；安徽-2016-未知-M4；安徽-2016-未知-M3；安徽-2016-未知-M7,2016年423公务员联考《申论》（安徽B卷）真题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00160,2016,省考,安徽,通用卷,1,4,文章写作,大作文/议论文,"英国探险家乔治·马洛里曾参加了人类前三次攀登珠峰的尝试。当随队记者问及“你为什么要攀
登珠峰”时他说：“因为山在那里”。请理解这句话的深意，从给定材料出发，联系实际，以“创业者心
中的山”为题写一篇800字左右的文章。(40分)","(1)中心明确，思想深刻;
(2)内容充实，论证有力;
(3)参考给定材料，但不拘泥于给定材料;
(4)结构完整，思路清晰，语言",，,40,800字左右,,安徽-2016-未知-M1；安徽-2016-未知-M4；安徽-2016-未知-M3；安徽-2016-未知-M7,2016年423公务员联考《申论》（安徽B卷）真题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00161,2017,省考,安徽,通用卷,1,1,综合分析,解释评价/启示分析,根据资料3，概括当前社会上求快风气产生的原因（15分）。,全面、准确、简明、有条理，不超过200字。,3，,15,不超过200字,,安徽-2017-未知-M3；安徽-2017-未知-M4；安徽-2017-未知-M1；安徽-2017-未知-M2；安徽-2017-未知-M5；安徽-2017-未知-M8；安徽-2017-未知-M6；安徽-2017-未知-M7,2017年422公务员联考《申论》（安徽A卷）真题答案及解析.pdf,高,通过强清洗，可进入候选池,
SL-00162,2017,省考,安徽,通用卷,1,2,归纳概括,概括要点,"给定材料4介绍了D公司应对车市“发展新趋势”取得成果的一些做法，请从中归纳出若干条经验，
以供其他企业借鉴。（20分）","（1）分成几个方面，以“在……方面，……。主要体现为……”的表达形式，分条列出；（2）准
确全面，简洁明了；（3）不超过300字。",4,20,不超过300字,,安徽-2017-未知-M3；安徽-2017-未知-M4；安徽-2017-未知-M1；安徽-2017-未知-M2；安徽-2017-未知-M5；安徽-2017-未知-M8；安徽-2017-未知-M6；安徽-2017-未知-M7,2017年422公务员联考《申论》（安徽A卷）真题答案及解析.pdf,高,通过强清洗，可进入候选池,
SL-00163,2017,省考,安徽,通用卷,1,3,贯彻执行,应用文/事务文书,"为推进休闲生活旅游城市建设，A市政府准备召开市民代表、专家学者参加的座谈会，市长将在会上
作开篇讲话，请你结合资料1和2，为市长草拟一份会议讲话提纲（25分）。",切合主题，内容具体，有针对性；条理清楚，层次分明，结构完整；450字左右。,1和2，,25,450字左右,城市治理；文化教育,安徽-2017-未知-M3；安徽-2017-未知-M4；安徽-2017-未知-M1；安徽-2017-未知-M2；安徽-2017-未知-M5；安徽-2017-未知-M8；安徽-2017-未知-M6；安徽-2017-未知-M7,2017年422公务员联考《申论》（安徽A卷）真题答案及解析.pdf,高,通过强清洗，可进入候选池,
SL-00164,2017,省考,安徽,通用卷,1,4,文章写作,大作文/议论文,参考给定材料，以“平衡”为话题，自拟标题，自选角度，写一篇议论文章（40分）。,立意明确、思路清晰、语言流畅；联系实际，不拘泥于“给定材料”。1000—1200字。,，,40,1000—1200字,,安徽-2017-未知-M3；安徽-2017-未知-M4；安徽-2017-未知-M1；安徽-2017-未知-M2；安徽-2017-未知-M5；安徽-2017-未知-M8；安徽-2017-未知-M6；安徽-2017-未知-M7,2017年422公务员联考《申论》（安徽A卷）真题答案及解析.pdf,高,通过强清洗，可进入候选池,
SL-00166,2017,省考,安徽,通用卷,1,1,归纳概括,概括要点,根据材料3，概括该景区调整旅游发展供给侧方案的主要内容。（15分）,全面、准确、简明，有条理，不超过200字。,3，,15,不超过200字,文化教育,安徽-2017-未知-M3；安徽-2017-未知-M4；安徽-2017-未知-M1；安徽-2017-未知-M2；安徽-2017-未知-M5；安徽-2017-未知-M8；安徽-2017-未知-M6；安徽-2017-未知-M7,2017年422公务员联考《申论》（安徽B卷）真题答案及解析.pdf,高,通过强清洗，可进入候选池,
SL-00167,2017,省考,安徽,通用卷,1,2,归纳概括,概括要点,"给定材料4介绍了D公司应对车市“发展新趋势”取得成果的一些做法，请从中归纳出若干条经验，
以供其他企业借鉴。（20分）","（1）分成几个方面，以“在……方面，……。主要体现为……”的表达形式，分条列出；（2）准
确全面，简洁明了；（3）不超过300字。",4,20,不超过300字,,安徽-2017-未知-M3；安徽-2017-未知-M4；安徽-2017-未知-M1；安徽-2017-未知-M2；安徽-2017-未知-M5；安徽-2017-未知-M8；安徽-2017-未知-M6；安徽-2017-未知-M7,2017年422公务员联考《申论》（安徽B卷）真题答案及解析.pdf,高,通过强清洗，可进入候选池,
SL-00168,2017,省考,安徽,通用卷,1,3,贯彻执行,应用文/事务文书,"假定你是B市教育部门工作人员，请将给定材料5整理成一份关于超前、速成教育现状的情况简报，
以供领导参考。（25分）",紧扣资料，内容全面，有针对性；结构完整，层次分明，有逻辑性；450字左右。,5；，,25,450字左右,公共服务；文化教育,安徽-2017-未知-M3；安徽-2017-未知-M4；安徽-2017-未知-M1；安徽-2017-未知-M2；安徽-2017-未知-M5；安徽-2017-未知-M8；安徽-2017-未知-M6；安徽-2017-未知-M7,2017年422公务员联考《申论》（安徽B卷）真题答案及解析.pdf,高,通过强清洗，可进入候选池,
SL-00169,2017,省考,安徽,通用卷,1,4,文章写作,大作文/议论文,参考给定材料，以“平衡”为话题，自拟标题，自选角度，写作一篇文章。（40分）,立意明确，联系实际，不拘泥于给定材料，思路清晰，语言流畅。总字数800-1000字。,，；，,40,800-1000字,,安徽-2017-未知-M3；安徽-2017-未知-M4；安徽-2017-未知-M1；安徽-2017-未知-M2；安徽-2017-未知-M5；安徽-2017-未知-M8；安徽-2017-未知-M6；安徽-2017-未知-M7,2017年422公务员联考《申论》（安徽B卷）真题答案及解析.pdf,高,通过强清洗，可进入候选池,
SL-00170,2017,省考,安徽,通用卷,2,,综合分析,解释评价/启示分析,根据资料4，分析D公司成立应对新常态的主要经验。（20分）,"1.全面、准确、简
明；2.条理清晰；3.不超过250字。",4，,20,不超过250字,,安徽-2017-未知-M3；安徽-2017-未知-M4；安徽-2017-未知-M1；安徽-2017-未知-M2；安徽-2017-未知-M5；安徽-2017-未知-M8；安徽-2017-未知-M6；安徽-2017-未知-M7,2017年422公务员联考《申论》（安徽B卷）真题答案及解析.pdf,高,通过强清洗，可进入候选池,
SL-00173,2018,省考,安徽,通用卷,1,,文章写作,大作文/议论文,请根据【给定材料2】，用简洁的语言概括“互联网协同消费经济”存在的一些问题。,"(1)全面准确;(2)分条概括;(3)不超过150字。（15分）
问题二、【给定材料3】具体介绍了我国两家企业在新经济环境下谋求发展获得成功的做法，请从中
归纳总结出若干条经验，以资其他企业借鉴。
要求：(1)准确全面，体现普适性;(2)分条列出，简洁明了;(3)不超过250字。（20分）
问题三、某省出版发行集团拟召开部分下属企业负责人参加的座谈会，集团总经理将在会上就“推进
企业在信息化时代下转型升级”作主旨讲话，请结合【给定材料4】提供的有益启示，为总经理草拟一份
讲话提纲。
要求：(1)针对性强，内容全面;(2)条理清楚，层次分明;(3)简明扼要，450字左右。（25分）
问题四、有知名学者说，“当一件件文物、一幅幅幅佳作走出高墙深闺，来到寻常百姓中间，虽然它
的容颜依旧，它的价值却早已跨越了市场定位，带给百姓的不仅仅是自豪，还有自信，让他们更加坚定地
沿着自己民族的道路走向未来。”(见【给定材料6】划线部分)请根据对这段文字的理解、自拟标题，自
选角度，写一篇1000~1200字的文章。",2；3；4,15,不超过150字,生态环保；科技创新；经济发展,安徽-2018-未知-M2；安徽-2018-未知-M3；安徽-2018-未知-M4；安徽-2018-未知-M6；安徽-2018-未知-M1；安徽-2018-未知-M5,2018年公务员多省联考《申论》真题（安徽A卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00182,2023,省考,安徽,通用卷,1,1,提出对策,对策措施,根据“给定材料1”，请概括A市为优化营商环境采取了哪些措施、取得了哪些成效。（15分）,"（1）准确全面；
（2）分条列出；
（3）成效与措施相对应；
（4）不超过200字。",1,15,不超过200字,生态环保,安徽-2023-未知-M1；安徽-2023-未知-M2；安徽-2023-未知-M3；安徽-2023-未知-M4,2023年公务员多省联考《申论》真题及答案（安徽A卷）.pdf,高,通过强清洗，可进入候选池,
SL-00183,2023,省考,安徽,通用卷,1,2,综合分析,解释评价/启示分析,请结合“给定材料2”，谈谈你对“新局蕴新机，新机生新局”这句话的理解。（20分）,"（1）理解准确；
（2）分析透彻；
（3）简明扼要；
（4）不超过300字。",2,20,不超过300字,,安徽-2023-未知-M1；安徽-2023-未知-M2；安徽-2023-未知-M3；安徽-2023-未知-M4,2023年公务员多省联考《申论》真题及答案（安徽A卷）.pdf,高,通过强清洗，可进入候选池,
SL-00184,2023,省考,安徽,通用卷,1,3,文章写作,大作文/议论文,"假设你是C市老龄办工作人员，请根据“给定材料3”，以“让‘鸿沟’变‘红利’，一个都不能少”
为题，为本市《老龄报》写一篇宣传报道稿。（25分）","（1）紧扣资料，内容全面；
（2）条理清晰，语言流畅；
（3）不超过500字。",3；，,25,不超过500字,,安徽-2023-未知-M1；安徽-2023-未知-M2；安徽-2023-未知-M3；安徽-2023-未知-M4,2023年公务员多省联考《申论》真题及答案（安徽A卷）.pdf,高,通过强清洗，可进入候选池,
SL-00185,2023,省考,安徽,通用卷,1,4,文章写作,大作文/议论文,"“给定材料4”中提到“现代让传统更亲切鲜活，传统让现代更丰富厚重”，请结合你对这句话的理
解，参考给定材料，联系实际，自选角度，自拟题目，写一篇议论文。（40分）","（1）立意鲜明，观点正确；
（2）思路清晰，语言流畅；
（3）参考“给定材料”，但不拘泥于“给定材料”；
（4）1000-1200字。",4；，,40,1000-1200字,,安徽-2023-未知-M1；安徽-2023-未知-M2；安徽-2023-未知-M3；安徽-2023-未知-M4,2023年公务员多省联考《申论》真题及答案（安徽A卷）.pdf,高,通过强清洗，可进入候选池,
